rok,csfd,zanr
2008,0,FNOIR
2009,0,FNOIR
2010,0,FNOIR
2011,0,FNOIR
2012,0,FNOIR
1911,0,HISTO
1912,1,HISTO
1913,0,HISTO
1914,0,HISTO
1915,1,HISTO
1916,1,HISTO
1917,0,HISTO
1918,0,HISTO
1919,1,HISTO
1920,0,HISTO
1921,1,HISTO
1922,0,HISTO
1923,1,HISTO
1924,0,HISTO
1925,3,HISTO
1926,0,HISTO
1927,1,HISTO
1928,3,HISTO
1929,2,HISTO
1930,1,HISTO
1931,1,HISTO
1932,0,HISTO
1933,3,HISTO
1934,3,HISTO
1935,2,HISTO
1936,4,HISTO
1937,2,HISTO
1938,5,HISTO
1939,2,HISTO
1940,3,HISTO
1941,2,HISTO
1942,0,HISTO
1943,0,HISTO
1944,5,HISTO
1945,3,HISTO
1946,2,HISTO
1947,3,HISTO
1948,2,HISTO
1949,3,HISTO
1950,5,HISTO
1951,4,HISTO
1952,4,HISTO
1953,4,HISTO
1954,5,HISTO
1955,7,HISTO
1956,7,HISTO
1957,4,HISTO
1958,1,HISTO
1959,3,HISTO
1960,7,HISTO
1961,9,HISTO
1962,6,HISTO
1963,5,HISTO
1964,10,HISTO
1965,8,HISTO
1966,9,HISTO
1967,4,HISTO
1968,14,HISTO
1969,10,HISTO
1970,8,HISTO
1971,15,HISTO
1972,8,HISTO
1973,7,HISTO
1974,8,HISTO
1975,9,HISTO
1976,6,HISTO
1977,9,HISTO
1978,5,HISTO
1979,8,HISTO
1980,4,HISTO
1981,7,HISTO
1982,7,HISTO
1983,9,HISTO
1984,9,HISTO
1985,8,HISTO
1986,8,HISTO
1987,4,HISTO
1988,4,HISTO
1989,14,HISTO
1990,9,HISTO
1991,5,HISTO
1992,6,HISTO
1993,10,HISTO
1994,8,HISTO
1995,9,HISTO
1996,7,HISTO
1997,10,HISTO
1998,4,HISTO
1999,3,HISTO
2000,5,HISTO
2001,4,HISTO
2002,5,HISTO
2003,4,HISTO
2004,9,HISTO
2005,12,HISTO
2006,11,HISTO
2007,10,HISTO
2008,24,HISTO
2009,16,HISTO
2010,16,HISTO
2011,13,HISTO
2012,19,HISTO
1911,0,HOROR
1912,0,HOROR
1913,1,HOROR
1914,0,HOROR
1915,1,HOROR
1916,0,HOROR
1917,0,HOROR
1918,0,HOROR
1919,0,HOROR
1920,4,HOROR
1921,2,HOROR
1922,3,HOROR
1923,0,HOROR
1924,2,HOROR
1925,2,HOROR
1926,2,HOROR
1927,4,HOROR
1928,2,HOROR
1929,0,HOROR
1930,0,HOROR
1931,4,HOROR
1932,8,HOROR
1933,6,HOROR
1934,1,HOROR
1935,4,HOROR
1936,4,HOROR
1937,0,HOROR
1938,0,HOROR
1939,3,HOROR
1940,3,HOROR
1941,2,HOROR
1942,4,HOROR
1943,5,HOROR
1944,5,HOROR
1945,7,HOROR
1946,4,HOROR
1947,1,HOROR
1948,1,HOROR
1949,0,HOROR
1950,1,HOROR
1951,1,HOROR
1952,1,HOROR
1953,3,HOROR
1954,3,HOROR
1955,5,HOROR
1956,6,HOROR
1957,8,HOROR
1958,8,HOROR
1959,14,HOROR
1960,14,HOROR
1961,9,HOROR
1962,10,HOROR
1963,19,HOROR
1964,14,HOROR
1965,11,HOROR
1966,8,HOROR
1967,12,HOROR
1968,14,HOROR
1969,10,HOROR
1970,23,HOROR
1971,30,HOROR
1972,29,HOROR
1973,35,HOROR
1974,29,HOROR
1975,21,HOROR
1976,26,HOROR
1977,38,HOROR
1978,31,HOROR
1979,22,HOROR
1980,48,HOROR
1981,57,HOROR
1982,36,HOROR
1983,38,HOROR
1984,26,HOROR
1985,36,HOROR
1986,47,HOROR
1987,50,HOROR
1988,59,HOROR
1989,47,HOROR
1990,50,HOROR
1991,25,HOROR
1992,33,HOROR
1993,29,HOROR
1994,25,HOROR
1995,20,HOROR
1996,17,HOROR
1997,14,HOROR
1998,13,HOROR
1999,17,HOROR
2000,17,HOROR
2001,16,HOROR
2002,13,HOROR
2003,12,HOROR
2004,10,HOROR
2005,10,HOROR
2006,6,HOROR
2007,9,HOROR
2008,4,HOROR
2009,9,HOROR
2010,10,HOROR
2011,4,HOROR
2012,9,HOROR
1911,0,HUDEB
1912,0,HUDEB
1913,0,HUDEB
1914,0,HUDEB
1915,0,HUDEB
1916,0,HUDEB
1917,0,HUDEB
1918,0,HUDEB
1919,0,HUDEB
1920,0,HUDEB
1921,0,HUDEB
1922,0,HUDEB
1923,0,HUDEB
1924,0,HUDEB
1925,0,HUDEB
1926,0,HUDEB
1927,0,HUDEB
1928,0,HUDEB
1929,0,HUDEB
1930,1,HUDEB
1931,2,HUDEB
1932,2,HUDEB
1933,3,HUDEB
1934,4,HUDEB
1935,0,HUDEB
1936,0,HUDEB
1937,0,HUDEB
1938,1,HUDEB
1939,1,HUDEB
1940,6,HUDEB
1941,0,HUDEB
1942,0,HUDEB
1943,0,HUDEB
1944,2,HUDEB
1945,0,HUDEB
1946,0,HUDEB
1947,3,HUDEB
1948,0,HUDEB
1949,1,HUDEB
1950,1,HUDEB
1951,0,HUDEB
1952,5,HUDEB
1953,0,HUDEB
1954,1,HUDEB
1955,5,HUDEB
1956,2,HUDEB
1957,2,HUDEB
1958,1,HUDEB
1959,2,HUDEB
1960,1,HUDEB
1961,1,HUDEB
1962,3,HUDEB
1963,2,HUDEB
1964,3,HUDEB
1965,2,HUDEB
1966,2,HUDEB
1967,4,HUDEB
1968,8,HUDEB
1969,1,HUDEB
1970,5,HUDEB
1971,1,HUDEB
1972,6,HUDEB
1973,1,HUDEB
1974,2,HUDEB
1975,4,HUDEB
1976,3,HUDEB
1977,5,HUDEB
1978,5,HUDEB
1979,7,HUDEB
1980,8,HUDEB
1981,4,HUDEB
1982,7,HUDEB
1983,6,HUDEB
1984,10,HUDEB
1985,5,HUDEB
1986,7,HUDEB
1987,5,HUDEB
1988,8,HUDEB
1989,3,HUDEB
1990,3,HUDEB
1991,9,HUDEB
1992,7,HUDEB
1993,9,HUDEB
1994,6,HUDEB
1995,2,HUDEB
1996,7,HUDEB
1997,3,HUDEB
1998,8,HUDEB
1999,8,HUDEB
2000,9,HUDEB
2001,5,HUDEB
2002,10,HUDEB
2003,7,HUDEB
2004,9,HUDEB
2005,17,HUDEB
2006,18,HUDEB
2007,14,HUDEB
2008,17,HUDEB
2009,18,HUDEB
2010,11,HUDEB
2011,12,HUDEB
2012,14,HUDEB
1911,0,KATAS
1912,0,KATAS
1913,0,KATAS
1914,0,KATAS
1915,0,KATAS
