reziser,jmeno,name,rok,zanr,zeme,autor,csfd,imdb,odkaz,link,rozdil
"Fellini, Federico",Darmošlapové,"Vitelloni, I ",1953,Drama/Podobenství/Povídkovı/Romantickı,"Itálie, Francie",Federico Fellini,7.8,7.9,www.csfd.cz/film/2617-darmoslapove/,www.imdb.com/title/tt0046521/,-0.100000000000001
"Fellini, Federico",Silnice,"Strada, La ",1954,Drama,Itálie,Federico Fellini,8.5,8.1,www.csfd.cz/film/2615-silnice/,www.imdb.com/title/tt0047528/,0.4
"Fellini, Federico",Podvodník,"Bidone, Il ",1955,Drama,"Itálie, Francie",Federico Fellini,7.6,7.6,www.csfd.cz/film/2598-podvodnik/,www.imdb.com/title/tt0047876/,0
"Fellini, Federico",Cabiriiny noci,"Notti di Cabiria, Le ",1957,Drama/Romantickı,"Itálie, Francie",Federico Fellini,8.1,8.1,www.csfd.cz/film/2610-cabiriiny-noci/,www.imdb.com/title/tt0050783/,0
"Fellini, Federico",Sladkı ivot,"Dolce vita, La ",1960,Drama,"Itálie, Francie",Federico Fellini,8.1,8,www.csfd.cz/film/2604-sladky-zivot/,www.imdb.com/title/tt0053779/,0.0999999999999996
"Fellini, Federico",8 1/2,81,1963,Drama/Fantasy,"Itálie, Francie",Federico Fellini,7.9,8.1,www.csfd.cz/film/2596-8-1-2/,www.imdb.com/title/tt0056801/,-0.199999999999999
"Fellini, Federico",Giulietta a duchové,Giulietta degli spiriti ,1965,Komedie/Drama/Fantasy/Romantickı,"Itálie, Francie",Federico Fellini,8,7.4,www.csfd.cz/film/2607-giulietta-a-duchove/,www.imdb.com/title/tt0059229/,0.6
"Fellini, Federico",Podivuhodné pøíbìhy,Histoires extraordinaires ,1968,Horor/Mysteriózní,"Francie, Itálie","Roger Vadim, Federico Fellini",7.3,6.5,www.csfd.cz/film/116446-podivuhodne-pribehy/,www.imdb.com/title/tt0063715/,0.8
"Fellini, Federico",Satyricon,Fellini - Satyricon ,1969,Drama,"Itálie, Francie",Federico Fellini,6.9,6.7,www.csfd.cz/film/2613-satyricon/,www.imdb.com/title/tt0064940/,0.2
"Fellini, Federico",Øím,Roma ,1972,Drama,"Itálie, Francie",Federico Fellini,7.9,7.2,www.csfd.cz/film/2612-rim/,www.imdb.com/title/tt0069191/,0.7
"Fellini, Federico",Amarcord,Amarcord ,1973,Drama/Komedie,"Itálie, Francie",Federico Fellini,8.4,7.8,www.csfd.cz/film/2597-amarcord/,www.imdb.com/title/tt0071129/,0.600000000000001
"Fellini, Federico",Casanova Federica Felliniho,"Casanova di Federico Fellini, Il ",1976,Drama/Romantickı/Historickı/ivotopisnı,"Itálie, USA",Federico Fellini,7.8,6.9,www.csfd.cz/film/2601-casanova-federica-felliniho/,www.imdb.com/title/tt0074291/,0.899999999999999
"Fellini, Federico",Zkouška orchestru,Prova d'orchestra ,1978,Drama,"Itálie, Francie, Západní Nìmecko",Federico Fellini,8.3,7.1,www.csfd.cz/film/2611-zkouska-orchestru/,www.imdb.com/title/tt0079759/,1.2
