Faust	Faust - Eine deutsche Volkssage 	1926	Drama / Fantasy / Horor	Nìmecko	Friedrich W. Murnau	8.6	7.9	www.csfd.cz/film/6851-faust/	www.imdb.com/title/tt0016847/
Frigo na mašinì	General, The 	1926	Komedie / Romantickı / Dobrodrunı / Váleènı / Akèní	USA	Buster Keaton, Clyde Bruckman	8.5	8.3	www.csfd.cz/film/5104-frigo-na-masine/	www.imdb.com/title/tt0017925/
Frigovy cesty ke kráse a síle	Battling Butler 	1926	Komedie	USA	Buster Keaton	6.9	7.1	www.csfd.cz/film/5096-frigovy-cesty-ke-krase-a-sile/	www.imdb.com/title/tt0016630/
Kreutzerova sonáta 	Kreutzerova sonáta 	1926	Drama / Psychologickı	Èeskoslovensko	Gustav Machatı	7.3	6.8	www.csfd.cz/film/6311-kreutzerova-sonata/	www.imdb.com/title/tt0017045/
Kurutta ippeji 	Kurutta ippeji 	1926	Drama / Experimentální	Japonsko	Teinosuke Kinugasa	7.8	7.4	www.csfd.cz/film/142781-kurutta-ippeji/	www.imdb.com/title/tt0017048/
Lásky Kaèenky Strnadové 	Lásky Kaèenky Strnadové 	1926	Komedie	Èeskoslovensko	Svatopluk Innemann	6.7	4.9	www.csfd.cz/film/4644-lasky-kacenky-strnadove/	www.imdb.com/title/tt0279933/
Matka	Ma 	1926	Drama	Sovìtskı svaz	Vsevolod Pudovkin	8.5	7.5	www.csfd.cz/film/37425-matka/	www.imdb.com/title/tt0017128/
Nana	Nana 	1926	Drama / Romantickı	Francie	Jean Renoir	8	6.9	www.csfd.cz/film/7656-nana/	www.imdb.com/title/tt0017196/
Po zakonu 	Po zakonu 	1926	Drama	Sovìtskı svaz	Lev Kulešov	8.2	7.5	www.csfd.cz/film/226299-po-zakonu/	www.imdb.com/title/tt0017271/
Praskı student	Student von Prag, Der 	1926	Drama / Horor	Nìmecko	Henrik Galeen	6.8	6.8	www.csfd.cz/film/109575-prazsky-student/	www.imdb.com/title/tt0017438/
Tìlo a ïábel	Flesh and the Devil 	1926	Drama / Romantickı	USA	Clarence Brown	8.3	7.7	www.csfd.cz/film/27817-telo-a-dabel/	www.imdb.com/title/tt0016884/
Záhady lidské duše	Geheimnisse einer Seele 	1926	Drama	Nìmecko	Georg Wilhelm Pabst	7.8	6.9	www.csfd.cz/film/103468-zahady-lidske-duse/	www.imdb.com/title/tt0016914/
ena upír	Temptress, The 	1926	Drama / Romantickı	USA	Mauritz Stiller, Fred Niblo	6.4	6.9	www.csfd.cz/film/23227-zena-upir/	www.imdb.com/title/tt0017449/
Alonzo, mu bez rukou	Unknown, The 	1927	Drama / Horor / Romantickı / Thriller	USA	Tod Browning	8.2	7.8	www.csfd.cz/film/1000-alonzo-muz-bez-rukou/	www.imdb.com/title/tt0018528/
Batalion 	Batalion 	1927	Drama	Èeskoslovensko	Pøemysl Praskı	8.1	7.7	www.csfd.cz/film/7461-batalion/	www.imdb.com/title/tt0250247/
Berlin, symfonie velkomìsta	Berlin: Die Sinfonie der Großstadt 	1927	Dokumentární	Nìmecko	Walter Ruttmann	8	7.7	www.csfd.cz/film/166659-berlin-symfonie-velkomesta/	www.imdb.com/title/tt0017668/
Café Electric	Café Elektric 	1927	Drama	Rakousko	Gustav Ucicky	6.9	6.9	www.csfd.cz/film/27624-cafe-electric/	www.imdb.com/title/tt0017726/
College 	College 	1927	Komedie	USA	James W. Horne, Buster Keaton	6.6	7.1	www.csfd.cz/film/24747-college/	www.imdb.com/title/tt0017765/
Èang	Chang 	1927	Dobrodrunı / Dokumentární	USA	Merian C. Cooper, Ernest B. Schoedsack	7.9	7.1	www.csfd.cz/film/8132-cang/	www.imdb.com/title/tt0017743/
Jazzovı zpìvák	Jazz Singer, The 	1927	Drama / Muzikál / Romantickı	USA	Alan Crosland	6.2	6.6	www.csfd.cz/film/24705-jazzovy-zpevak/	www.imdb.com/title/tt0018037/
Konec Petrohradu	Konìc Sankt-Peterburga 	1927	Drama	Sovìtskı svaz	Vsevolod Pudovkin	7.6	7.5	www.csfd.cz/film/37424-konec-petrohradu/	www.imdb.com/title/tt0018066/
Metropolis	Metropolis 	1927	Sci-Fi / Drama	Nìmecko	Fritz Lang	8.5	8.4	www.csfd.cz/film/5612-metropolis/	www.imdb.com/title/tt0017136/
Na šikmé ploše	Downhill 	1927	Drama	Velká Británie	Alfred Hitchcock	6.4	6.0	www.csfd.cz/film/4357-na-sikme-plose/	www.imdb.com/title/tt0017825/
Napoleon	Napoléon 	1927	Drama / Historickı / Váleènı / ivotopisnı	Francie / Èeskoslovensko / Nìmecko / Itálie	Abel Gance	8	7.7	www.csfd.cz/film/102458-napoleon/	www.imdb.com/title/tt0018192/
On, hrdina dne	Kid Brother, The 	1927	Komedie / Rodinnı / Romantickı	USA	Ted Wilde, Harold Lloyd, Lewis Milestone	8.6	7.7	www.csfd.cz/film/25180-on-hrdina-dne/	www.imdb.com/title/tt0018051/
Padenie dinastii Romanovykh 	Padenie dinastii Romanovykh 	1927	Dokumentární	Sovìtskı svaz / USA	Esfir Shub	6.5	6.5	www.csfd.cz/film/210770-padenie-dinastii-romanovykh/	www.imdb.com/title/tt0018246/
Podsvìtí	Underworld 	1927	Krimi / Drama	USA	Josef von Sternberg, Arthur Rosson	8.1	7.7	www.csfd.cz/film/71920-podsveti/	www.imdb.com/title/tt0018526/
Pøíšerná chvíle	Cat and the Canary, The 	1927	Horor / Mysteriózní	USA	Paul Leni	8	7.2	www.csfd.cz/film/143643-priserna-chvile/	www.imdb.com/title/tt0017739/
Pøíšerné stíny	London After Midnight 	1927	Drama / Horor	USA	Tod Browning	7.7	6.9	www.csfd.cz/film/977-priserne-stiny/	www.imdb.com/title/tt0018097/
Pøíšernı host	Lodger, The 	1927	Krimi / Thriller / Horor	Velká Británie	Alfred Hitchcock	8.3	7.3	www.csfd.cz/film/4370-priserny-host/	www.imdb.com/title/tt0017075/
