Zlaté opojení|Gold Rush, The (1925)|1925|Komedie / Rodinnı|USA|Charles Chaplin|86%|8.2|www.csfd.cz/film/1471-zlate-opojeni/|www.imdb.com/title/tt0015864/
Køiník Potìmkin|Bronenosec Poomkin (1925)|1925|Drama / Historickı / Váleènı|Sovìtskı svaz|Sergej M. Ejzenštejn|84%|8.0|www.csfd.cz/film/32365-kriznik-potemkin/|www.imdb.com/title/tt0015648/
Stávka|Staèka (1925)|1925|Drama|Sovìtskı svaz|Sergej M. Ejzenštejn|82%|7.7|www.csfd.cz/film/32384-stavka/|www.imdb.com/title/tt0015361/
Ben Hur|Ben-Hur: A Tale of the Christ (1925)|1925|Drama / Dobrodrunı / Romantickı / Historickı|USA|"Charles Brabin, <a href=""/tvurce/24476-rex-ingram/"">Rex Ingram</a>, <a href=""/tvurce/3877-fred-niblo/"">Fred Niblo</a>"|82%|7.9|www.csfd.cz/film/42404-ben-hur/|www.imdb.com/title/tt0016641/
Visages d'enfants (1925)|Visages d'enfants (1925)|1925|Drama / Mysteriózní / Romantickı|Francie / Švıcarsko|Jacques Feyder|93%|7.5|www.csfd.cz/film/130349-visages-d-enfants/|www.imdb.com/title/tt0016491/
Fantom opery|Phantom of the Opera, The (1925)|1925|Drama / Horor|USA|"Rupert Julian, <a href=""/tvurce/10794-edward-sedgwick/"">Edward Sedgwick</a>, <a href=""/tvurce/2498-lon-chaney/"">Lon Chaney</a>"|77%|7.7|www.csfd.cz/film/47765-fantom-opery/|www.imdb.com/title/tt0016220/
On zázraènım studentem|Freshman, The (1925)|1925|Komedie / Rodinnı / Sportovní|USA|"Sam Taylor, <a href=""/tvurce/80691-fred-c-newmeyer/"">Fred C. Newmeyer</a>"|80%|7.6|www.csfd.cz/film/25149-on-zazracnym-studentem/|www.imdb.com/title/tt0015841/
Tartuffe|Tartüff (1925)|1925|Drama|Nìmecko|Friedrich W. Murnau|83%|7.2|www.csfd.cz/film/6855-tartuffe/|www.imdb.com/title/tt0017448/
Ulièka, kde není radosti|Freudlose Gasse, Die (1925)|1925|Drama|Nìmecko|Georg Wilhelm Pabst|80%|7.2|www.csfd.cz/film/27818-ulicka-kde-neni-radosti/|www.imdb.com/title/tt0015842/
Pøehlídka smrti|Big Parade, The (1925)|1925|Drama / Romantickı / Váleènı|USA|King Vidor|80%|8.0|www.csfd.cz/film/47489-prehlidka-smrti/|www.imdb.com/title/tt0015624/
Ztracenı svìt|Lost World, The (1925)|1925|Dobrodrunı / Fantasy / Sci-Fi / Horor|USA|Harry O. Hoyt|74%|6.9|www.csfd.cz/film/80313-ztraceny-svet/|www.imdb.com/title/tt0016039/
Pán domu aneb Tyranùv pád|Du skal are din hustru (1925)|1925|Komedie / Drama|Dánsko|Carl Theodor Dreyer|78%|7.1|www.csfd.cz/film/104964-pan-domu-aneb-tyranuv-pad/|www.imdb.com/title/tt0015768/
Go West (1925)|Go West (1925)|1925|Komedie / Western|USA|Buster Keaton|75%|7.2|www.csfd.cz/film/5105-go-west/|www.imdb.com/title/tt0015863/
Vìjíø lady Windermerové|Lady Windermere's Fan (1925)|1925|Komedie / Drama|USA|Ernst Lubitsch|77%|7.4|www.csfd.cz/film/6118-vejir-lady-windermerove/|www.imdb.com/title/tt0016004/
Lucerna (1925)|Lucerna (1925)|1925|Drama / Pohádka / Historickı / Fantasy|Èeskoslovensko|Karel Lamaè|70%|NA|www.csfd.cz/film/5516-lucerna/|www.imdb.com/title/tt0165865/
Wizard of Oz (1925)|Wizard of Oz (1925)|1925|Komedie / Rodinnı / Fantasy / Dobrodrunı|USA|Larry Semon|75%|5.1|www.csfd.cz/film/74580-wizard-of-oz/|www.imdb.com/title/tt0016544/
Bludištì lásky|Pleasure Garden, The (1925)|1925|Drama / Krimi|Velká Británie / Nìmecko|Alfred Hitchcock|65%|6.0|www.csfd.cz/film/4384-bludiste-lasky/|www.imdb.com/title/tt0016230/
Manasse|Manasse (1925)|1925||Rumunsko|Jean Mihail|43%|7.4|www.csfd.cz/film/241640-manasse/|www.imdb.com/title/tt0016084/
Frigo na mašinì|General, The (1926)|1926|Komedie / Romantickı / Dobrodrunı / Váleènı / Akèní|USA|"Buster Keaton, <a href=""/tvurce/23587-clyde-bruckman/"">Clyde Bruckman</a>"|85%|8.3|www.csfd.cz/film/5104-frigo-na-masine/|www.imdb.com/title/tt0017925/
Faust|Faust - Eine deutsche Volkssage (1926)|1926|Drama / Fantasy / Horor|Nìmecko|Friedrich W. Murnau|86%|7.9|www.csfd.cz/film/6851-faust/|www.imdb.com/title/tt0016847/
Matka|Ma (1926)|1926|Drama|Sovìtskı svaz|Vsevolod Pudovkin|85%|7.5|www.csfd.cz/film/37425-matka/|www.imdb.com/title/tt0017128/
Dobrodruství prince Achmeda|Abenteuer des Prinzen Achmed, Die (1926)|1926|Animovanı / Dobrodrunı / Fantasy / Romantickı|Nìmecko|Lotte Reiniger|84%|7.7|www.csfd.cz/film/210646-dobrodruzstvi-prince-achmeda/|www.imdb.com/title/tt0015532/
Tìlo a ïábel|Flesh and the Devil (1926)|1926|Drama / Romantickı|USA|Clarence Brown|83%|7.7|www.csfd.cz/film/27817-telo-a-dabel/|www.imdb.com/title/tt0016884/
Po zakonu (1926)|Po zakonu (1926)|1926|Drama|Sovìtskı svaz|Lev Kulešov|82%|7.5|www.csfd.cz/film/226299-po-zakonu/|www.imdb.com/title/tt0017271/
Kreutzerova sonáta (1926)|Kreutzerova sonáta (1926)|1926|Drama / Psychologickı|Èeskoslovensko|Gustav Machatı|73%|6.8|www.csfd.cz/film/6311-kreutzerova-sonata/|www.imdb.com/title/tt0017045/
Záhady lidské duše|Geheimnisse einer Seele (1926)|1926|Drama|Nìmecko|Georg Wilhelm Pabst|78%|6.9|www.csfd.cz/film/103468-zahady-lidske-duse/|www.imdb.com/title/tt0016914/
Kurutta ippeji (1926)|Kurutta ippeji (1926)|1926|Drama / Experimentální|Japonsko|Teinosuke Kinugasa|78%|7.4|www.csfd.cz/film/142781-kurutta-ippeji/|www.imdb.com/title/tt0017048/
Nana|Nana (1926)|1926|Drama / Romantickı|Francie|Jean Renoir|80%|6.9|www.csfd.cz/film/7656-nana/|www.imdb.com/title/tt0017196/
Lásky Kaèenky Strnadové (1926)|Lásky Kaèenky Strnadové (1926)|1926|Komedie|Èeskoslovensko|Svatopluk Innemann|67%|4.9|www.csfd.cz/film/4644-lasky-kacenky-strnadove/|www.imdb.com/title/tt0279933/
Frigovy cesty ke kráse a síle|Battling Butler (1926)|1926|Komedie|USA|Buster Keaton|69%|7.1|www.csfd.cz/film/5096-frigovy-cesty-ke-krase-a-sile/|www.imdb.com/title/tt0016630/
Falešná koèièka aneb Kdy si ena umíní (1926)|Falešná koèièka aneb Kdy si ena umíní (1926)|1926|Komedie|Èeskoslovensko|Svatopluk Innemann|66%|7.2|www.csfd.cz/film/23450-falesna-kocicka-aneb-kdyz-si-zena-umini/|www.imdb.com/title/tt0279805/
Praskı student|Student von Prag, Der (1926)|1926|Drama / Horor|Nìmecko|Henrik Galeen|68%|6.8|www.csfd.cz/film/109575-prazsky-student/|www.imdb.com/title/tt0017438/
